Nome da conta;Número da conta;Nome do veículo;Número do veículo;Total de dias da operação;Data inicial da operação;Data final da operação;Total de dias;Distância percorrida;Por dia;Hodômetro inicial;Hodômetro final;Velocidade máxima;Velocidade média;Velocidade média em movimento;Litros consumidos;Consumo médio do veículo;Movimento;Faixa verde;Marcha lenta excessiva;Ignição ligada;Percentual de tempo de condução sem chuva;Percentual de tempo de condução na chuva;Condução sem chuva;Condução na chuva;Movimento médio diário;Quantidade de violações - Aceleração brusca;Quantidade de violações - Banguela;Quantidade de violações - Freadas bruscas;Quantidade de violações - Marcha lenta excessiva;Quantidade de violações - Partida a frio;Quantidade de violações - Violação de faixa verde;Quantidade de violações - Violação de RPM;Quantidade de violações - Violação de velocidade;Quantidade de violações - Violação de velocidade na chuva;Tempo total - Aceleração brusca;Tempo total - Banguela;Tempo total - Freadas bruscas;Tempo total - Marcha lenta excessiva;Tempo total - Partida a frio;Tempo total - Violação de faixa verde;Tempo total - Violação de RPM;Tempo total - Violação de velocidade;Tempo total - Violação de velocidade na chuva;
Prime;268497701;1288 - GJD6E43;261343;30;04/05/2025;03/06/2025;31;10.746,70;358,22;762.289,80;773.036,50;103,00;64,97;74,65;4.362,50;2,46;143:58:13;138:50:04;07:57:41;165:24:18;100,00;0,00;143:58:13;00:00:00;04:47:56;22;0;4;49;13;560;0;102;0;00:00:44;00:00:00;00:00:11;07:57:41;00:03:25;05:08:09;00:00:00;00:46:20;00:00:00;
Prime;268497701;1326 - QIF8269;277730;30;04/05/2025;02/06/2025;31;8.274,70;275,82;768.799,70;777.079,80;98,00;47,63;58,02;3.246,50;2,55;142:36:55;141:47:17;05:35:34;173:43:45;100,00;0,00;142:36:55;00:00:00;04:45:14;12;0;0;42;15;129;1;4;0;00:00:24;00:00:00;00:00:00;05:35:34;00:03:50;00:49:38;00:00:13;00:01:33;00:00:00;
Prime;268497701;1336 - QIH1059;276628;29;05/05/2025;03/06/2025;31;7.277,30;250,94;754.842,00;762.119,30;94,00;50,51;62,66;3.146,50;2,31;116:08:27;113:45:35;07:53:48;144:04:27;100,00;0,00;116:08:27;00:00:00;04:00:17;2;0;0;61;13;266;0;0;0;00:00:04;00:00:00;00:00:00;07:53:48;00:03:04;02:22:52;00:00:00;00:00:00;00:00:00;
Prime;268497701;1338 - QIH1179;367234;28;04/05/2025;03/06/2025;31;6.891,10;246,11;686.984,20;693.875,30;93,00;59,25;70,33;2.530,50;2,72;97:59:14;97:58:13;04:24:29;116:18:12;100,00;0,00;97:59:14;00:00:00;03:29:58;1;0;3;26;9;2;0;0;0;00:00:02;00:00:00;00:00:08;04:24:29;00:02:32;00:01:01;00:00:00;00:00:00;00:00:00;
Prime;268497701;1344 - QIH1139;273667;29;04/05/2025;03/06/2025;31;11.158,10;384,76;751.671,30;762.829,40;94,00;50,65;58,26;4.737,50;2,36;191:30:57;190:42:56;07:26:28;220:16:36;100,00;0,00;191:30:57;00:00:00;06:36:14;12;0;1;49;21;118;0;1;0;00:00:24;00:00:00;00:00:02;07:26:28;00:05:28;00:48:01;00:00:00;00:00:19;00:00:00;
Prime;268497701;1346 - QIL3619;274876;28;05/05/2025;03/06/2025;31;7.090,50;253,23;822.136,70;829.227,20;102,00;48,16;62,99;2.817,50;2,52;112:34:27;111:19:38;11:43:35;147:13:59;100,00;0,00;112:34:27;00:00:00;04:01:14;4;0;1;72;2;163;0;32;0;00:00:08;00:00:00;00:00:02;11:43:35;00:00:36;01:14:49;00:00:00;00:12:42;00:00:00;
Prime;268497701;1354 - QIL3639;277991;26;04/05/2025;01/06/2025;31;9.338,10;359,16;734.964,40;744.302,50;94,00;44,18;48,99;3.845,00;2,43;190:36:39;189:30:15;02:46:37;211:22:42;100,00;0,00;190:36:39;00:00:00;07:19:52;7;0;6;21;12;159;0;0;0;00:00:14;00:00:00;00:00:12;02:46:37;00:02:11;01:06:24;00:00:00;00:00:00;00:00:00;
Prime;268497701;1356 - QIN7219;273577;21;04/05/2025;02/06/2025;31;2.219,60;105,70;774.679,50;776.899,00;94,00;25,80;44,18;1.073,00;2,07;50:14:40;49:44:36;08:58:18;86:01:47;100,00;0,00;50:14:40;00:00:00;02:23:33;18;0;0;60;8;67;0;1;0;00:00:36;00:00:00;00:00:00;08:58:18;00:02:04;00:30:04;00:00:00;00:00:20;00:00:00;
Prime;268497701;1358 - QIN7279;261395;30;04/05/2025;03/06/2025;31;7.706,40;256,88;802.473,50;810.179,90;94,00;38,15;46,00;2.956,50;2,61;167:32:24;166:13:56;04:17:28;201:59:50;100,00;0,00;167:32:24;00:00:00;05:35:05;1;0;0;31;31;184;0;0;0;00:00:02;00:00:00;00:00:00;04:17:28;00:09:25;01:18:28;00:00:00;00:00:00;00:00:00;
Prime;268497701;1362 - QIN7119;276993;28;04/05/2025;02/06/2025;31;6.793,20;242,61;775.940,40;782.733,60;101,00;58,85;69,70;2.302,50;2,95;97:27:34;95:35:38;05:51:19;115:26:18;100,00;0,00;97:27:34;00:00:00;03:28:50;3;0;0;33;1;224;0;23;0;00:00:06;00:00:00;00:00:00;05:51:19;00:00:16;01:51:56;00:00:00;00:07:55;00:00:00;
